regime,window_set,feature_set,model,config_name,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,3,57,76634,18910,20,5,0.6387625594923321,0.1559574805648104,0.3941459502806736,0.6759259259259259,0.22348527907241106,0.5559722476243179,0.16362937465022453,11096,5320,1511,983
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,4,57,76581,18963,20,5,0.5213837472973686,0.1035548686244204,0.36186123805567094,0.5445759845373278,0.16102791643557035,0.4523209516256493,0.10976871794275855,9016,7540,1536,871
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,5,57,71273,24271,19,6,0.6631370771702855,0.20099540581929556,0.4512893982808023,0.6987151725133536,0.27812113720642767,0.603309158451302,0.1962306602511814,14520,6261,1915,1575
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,1,57,79713,15831,21,4,0.7244014907460047,0.11739130434782609,0.2350551363900174,0.7841650127587184,0.15658225401121206,0.5263284634033683,0.1253726365552551,11063,3045,1318,405
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,2,57,77975,17569,20,5,0.4883601798622574,0.2728949552706815,0.7281003937007874,0.41621621621621624,0.3969947004762863,0.6328918623752648,0.3501307104610656,5621,7884,1105,2959
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,3,57,76634,18910,20,5,0.6692755156002115,0.16428571428571428,0.3688853247794707,0.7149122807017544,0.22732888559426737,0.5593969996803244,0.16684594497550398,11736,4680,1574,920
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,4,57,76581,18963,20,5,0.5399989453145599,0.0954394055854471,0.3095139177399252,0.5735080937424498,0.14589248996377166,0.453719197339884,0.107759757491172,9495,7061,1662,745
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,5,57,71273,24271,19,6,0.6679576449260435,0.20617363344051448,0.45931232091690544,0.7029979308021751,0.2845983133599645,0.6066012677714614,0.19888242341900988,14609,6172,1887,1603
all_records_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,1,57,79713,15831,21,4,0.8897100625355315,0.1891891891891892,0.004062681369704005,0.9978735469237312,0.007954545454545454,0.5235842940151104,0.11653265200138131,14078,30,1716,7
all_records_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,2,57,77975,17569,20,5,0.7663498207069269,0.3867403314917127,0.0172244094488189,0.9917808219178083,0.03297997644287397,0.6091487331900988,0.2988074628270586,13394,111,3994,70
