experiment,model,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
full_core_fusion,LogisticRegression,4,53,16428,4365,20,5,0.6691867124856815,0.3108454312553373,0.36363636363636365,0.7601070154577884,0.3351749539594843,0.5521954264522635,0.32322204682556677,2557,807,637,364
full_core_fusion,LogisticRegression,5,53,16806,3987,20,5,0.4853273137697517,0.29321663019693656,0.8758169934640523,0.36852394916911047,0.43934426229508194,0.7329156346655821,0.48035656176207914,1131,1938,114,804
full_core_fusion,RandomForest,1,53,16676,4117,20,5,0.8083555987369444,0.6666666666666666,0.01008827238335435,0.9987966305655837,0.01987577639751553,0.576423253710642,0.26445896728947893,3320,4,785,8
full_core_fusion,RandomForest,2,53,16684,4109,20,5,0.8262350936967632,0.0,0.0,1.0,0.0,0.534649736183133,0.19237259167297693,3395,0,714,0
full_core_fusion,RandomForest,3,53,16578,4215,20,5,0.8147093712930011,0.2897196261682243,0.042119565217391304,0.9781546421385455,0.07354685646500593,0.5972553098091655,0.23817890471513803,3403,76,705,31
full_core_fusion,RandomForest,4,53,16428,4365,20,5,0.7709049255441008,0.6,0.002997002997002997,0.9994054696789536,0.005964214711729622,0.4994218029295318,0.24305751492375316,3362,2,998,3
full_core_fusion,RandomForest,5,53,16806,3987,20,5,0.7700025081514924,0.6666666666666666,0.002178649237472767,0.9996741609644836,0.004343105320304018,0.6812541750344828,0.3798879531004683,3068,1,916,2
late_fusion,XGBoost,1,53,16676,4117,20,5,0.7685207675491863,0.36710963455149503,0.2786885245901639,0.8853790613718412,0.31684587813620074,0.6581216814394301,0.30054475205859055,2943,381,572,221
late_fusion,XGBoost,2,53,16684,4109,20,5,0.7434899002190314,0.24550898203592814,0.22969187675070027,0.8515463917525773,0.23733719247467439,0.5962857307871602,0.23985592746038162,2891,504,550,164
late_fusion,XGBoost,3,53,16578,4215,20,5,0.5402135231316726,0.21543560606060605,0.6182065217391305,0.5237137108364472,0.31952247191011235,0.6013021061149506,0.2592880884401473,1822,1657,281,455
late_fusion,XGBoost,4,53,16428,4365,20,5,0.711340206185567,0.3337612323491656,0.2597402597402597,0.8457193816884662,0.29213483146067415,0.5619208377829068,0.31378710758362305,2845,519,741,260
late_fusion,XGBoost,5,53,16806,3987,20,5,0.6506144971156258,0.35091023226616447,0.6089324618736384,0.6630824372759857,0.4452409398645958,0.6875255116347252,0.40322325159904615,2035,1034,359,559
