regime,experiment,model,config_name,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
sleep_only,advanced_late_fusion,XGBoost,config_4,max_youden,0.5,0.6515217526607332,0.30480591497227355,0.47289934040722686,0.701033386327504,0.3706867483421378,8819,3761,1838,1649,0.1739327267347308,
sleep_only,advanced_late_fusion,XGBoost,config_4,sensitivity_ge_0.70_max_specificity,0.4,0.3796601730254559,0.23174366616989567,0.8026957269859478,0.2624006359300477,0.3596530677802763,3301,9279,688,2799,0.06509636291599552,
sleep_only,advanced_late_fusion,XGBoost,config_5,max_f1,0.45,0.6397585112342068,0.30015633142261594,0.49555491826785203,0.6797297297297298,0.3738641280830809,8551,4029,1759,1728,0.1752846479975818,
sleep_only,advanced_late_fusion,XGBoost,config_5,max_youden,0.45,0.6397585112342068,0.30015633142261594,0.49555491826785203,0.6797297297297298,0.3738641280830809,8551,4029,1759,1728,0.1752846479975818,
sleep_only,advanced_late_fusion,XGBoost,config_5,sensitivity_ge_0.70_max_specificity,0.35,0.4090993962780855,0.23830269234120416,0.7843418411241755,0.30508744038155805,0.36554397219994655,3838,8742,752,2735,0.0894292815057336,
sleep_only,advanced_late_fusion,XGBoost,config_6,max_f1,0.45,0.5431007655442833,0.2656288007783994,0.6263263550329796,0.5200317965023847,0.3730463745836536,6542,6038,1303,2184,0.14635815153536447,
sleep_only,advanced_late_fusion,XGBoost,config_6,max_youden,0.5,0.670006846330989,0.31097687981670485,0.4281617436191569,0.7370429252782194,0.36027992277992277,9272,3308,1994,1493,0.16520466889737628,
sleep_only,advanced_late_fusion,XGBoost,config_6,sensitivity_ge_0.70_max_specificity,0.4,0.40356009211427146,0.23755811951093508,0.7912245483223401,0.2961049284578696,0.36540626448579566,3725,8855,728,2759,0.08732947678020975,
sleep_only,advanced_respiratory,XGBoost,config_1,max_f1,0.4,0.5490135059438601,0.27707270786383587,0.6699168339546888,0.5155007949125596,0.3920120825641886,6485,6095,1151,2336,0.18541762886724844,
sleep_only,advanced_respiratory,XGBoost,config_1,max_youden,0.4,0.5490135059438601,0.27707270786383587,0.6699168339546888,0.5155007949125596,0.3920120825641886,6485,6095,1151,2336,0.18541762886724844,
