regime,feature_variant,experiment,model,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
sleep_only,enhanced,full_core_fusion,XGBoost,max_youden,0.45,0.6317918715379349,0.30471136838720053,0.5434470891884141,0.6562798092209857,0.3904801153925407,8256,4324,1592,1895,0.19972689840939983,
sleep_only,enhanced,late_fusion,XGBoost,max_f1,0.45,0.6154229165370013,0.3035036496350365,0.5962145110410094,0.6207472178060414,0.40224436490277643,7809,4771,1408,2079,0.21696172884705067,
sleep_only,enhanced,late_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.49747930540860147,0.265466816647919,0.7444794952681388,0.42901430842607313,0.3913764510779436,5397,7183,891,2596,0.17349380369421197,
sleep_only,enhanced,late_fusion,XGBoost,max_youden,0.5,0.7120806622269248,0.3627380091588335,0.4316030972182392,0.7898251192368839,0.394185437401781,9936,2644,1982,1505,0.22142821645512312,
sleep_only,enhanced,respiratory_spo2_fusion,XGBoost,max_f1,0.45,0.6240741893321715,0.3059145507070093,0.5770002867794666,0.6371224165341812,0.3998410174880763,8015,4565,1475,2012,0.2141227033136479,
sleep_only,enhanced,respiratory_spo2_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.4913176075185162,0.2630461165048544,0.7459133926010898,0.42074721780604135,0.38893457943925236,5293,7287,886,2601,0.1666606104071311,
sleep_only,enhanced,respiratory_spo2_fusion,XGBoost,max_youden,0.5,0.6772888529283625,0.3334641035700275,0.48752509320332665,0.7298887122416534,0.39603960396039606,9182,3398,1787,1700,0.21741380544498012,
sleep_only,enhanced,spo2_only,XGBoost,max_f1,0.45,0.645360054770648,0.33067851125746667,0.6191568683682248,0.6526232114467408,0.4311102236421725,8210,4370,1328,2159,0.27178007981496566,
sleep_only,enhanced,spo2_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.5037032426713138,0.27322349135752555,0.7751648981932894,0.42845786963434024,0.4040358744394619,5390,7190,784,2703,0.20362276782762967,
sleep_only,enhanced,spo2_only,XGBoost,max_youden,0.45,0.645360054770648,0.33067851125746667,0.6191568683682248,0.6526232114467408,0.4311102236421725,8210,4370,1328,2159,0.27178007981496566,
