experiment,model,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp
full_core_fusion,LogisticRegression,0.7,0.7874765546097244,0.4169360051712993,0.1549735703988467,0.9457639348205159,0.22595901208617972,15729,902,3517,645
full_core_fusion,LogisticRegression,0.75,0.796710431395181,0.46494066882416396,0.1035559827006247,0.9701761770188203,0.16938494792690115,16135,496,3731,431
full_core_fusion,LogisticRegression,0.8,0.7998364834319242,0.5,0.06487265737626141,0.9837652576513739,0.11484474691620587,16361,270,3892,270
full_core_fusion,LogisticRegression,0.85,0.7993074592410907,0.4816053511705686,0.03459875060067275,0.9906800553183813,0.06455951580363148,16476,155,4018,144
full_core_fusion,LogisticRegression,0.9,0.7990189005915452,0.42857142857142855,0.0122537241710716,0.9959112500751608,0.023826208829712685,16563,68,4111,51
full_core_fusion,LogisticRegression,0.95,0.7993555523493483,0.2727272727272727,0.0014416146083613647,0.9990379411941555,0.0028680688336520078,16615,16,4156,6
full_core_fusion,RandomForest,0.05,0.20146203049103065,0.2001638712165028,0.997837578087458,0.0021646323131501413,0.3334403853873946,36,16595,9,4153
full_core_fusion,RandomForest,0.1,0.23002933679603713,0.19995948136142624,0.948582412301778,0.05020744393001022,0.33029365012967454,835,15796,214,3948
full_core_fusion,RandomForest,0.15,0.32207954600105804,0.20431003690915586,0.8246035559827006,0.19632012506764476,0.32748091603053436,3265,13366,730,3432
full_core_fusion,RandomForest,0.2,0.48073871014283653,0.22603022545214305,0.6576165305141759,0.4364740544765799,0.33642677155675743,7259,9372,1425,2737
full_core_fusion,RandomForest,0.25,0.6412254123984034,0.26429388221841055,0.4442575684766939,0.6905177078948951,0.33142140168488976,11484,5147,2313,1849
full_core_fusion,RandomForest,0.3,0.7277449141538017,0.28821701045493076,0.245074483421432,0.8485358667548554,0.26490066225165565,14112,2519,3142,1020
full_core_fusion,RandomForest,0.35,0.7720386668590391,0.3130659767141009,0.11629024507448342,0.9361433467620708,0.1695865451997197,15569,1062,3678,484
full_core_fusion,RandomForest,0.4,0.789496465156543,0.330173775671406,0.05021624219125421,0.9745054416451205,0.08717413972888426,16207,424,3953,209
full_core_fusion,RandomForest,0.45,0.7961814072043476,0.3549618320610687,0.022345026429601154,0.9898382538632674,0.042043399638336344,16462,169,4069,93
full_core_fusion,RandomForest,0.5,0.7979608522098783,0.3464566929133858,0.010571840461316675,0.9950093199446817,0.02051760317090231,16548,83,4118,44
full_core_fusion,RandomForest,0.55,0.7987303419419998,0.31746031746031744,0.004805382027871216,0.9974144669592929,0.009467455621301775,16588,43,4142,20
full_core_fusion,RandomForest,0.6,0.7993555523493483,0.2916666666666667,0.0016818837097549255,0.9989778125187903,0.0033444816053511705,16614,17,4155,7
full_core_fusion,RandomForest,0.65,0.7996922041071515,0.38461538461538464,0.001201345506967804,0.9995189705970777,0.0023952095808383233,16623,8,4157,5
full_core_fusion,RandomForest,0.7,0.7997402972154091,0.0,0.0,0.9998797426492695,0.0,16629,2,4162,0
full_core_fusion,RandomForest,0.75,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_core_fusion,RandomForest,0.8,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_core_fusion,RandomForest,0.85,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_core_fusion,RandomForest,0.9,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_core_fusion,RandomForest,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_core_fusion,XGBoost,0.05,0.20213533400663686,0.20047238021787334,0.9992791926958193,0.002645661716072395,0.3339489320700177,44,16587,3,4159
full_core_fusion,XGBoost,0.1,0.21516856634444284,0.20122880314573605,0.9836617011052379,0.022848896638807046,0.3341086220263598,380,16251,68,4094
full_core_fusion,XGBoost,0.15,0.24262973115952485,0.20307534597642235,0.9519461797212878,0.06511935542060009,0.33474146671172694,1083,15548,200,3962
full_core_fusion,XGBoost,0.2,0.28447073534362527,0.20686070686070687,0.9084574723690534,0.12831459322951116,0.3369875222816399,2134,14497,381,3781
full_core_fusion,XGBoost,0.25,0.3332371471168182,0.212890625,0.8642479577126382,0.20034874631711863,0.3416278848893532,3332,13299,565,3597
