regime,experiment,model,config_name,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
sleep_only,advanced_respiratory_spo2,XGBoost,config_3,5,236,12023,4044,19,6,0.6496043521266073,0.3759022765130483,0.6979381443298969,0.6343526350032531,0.4886322627210393,0.7176896015131902,0.5041957271675923,1950,1124,293,677
sleep_only,advanced_full,XGBoost,config_3,1,260,12594,3473,20,5,0.5917074575295134,0.29931972789115646,0.5314009661835749,0.610586011342155,0.38294168842471715,0.5990182917362994,0.3935159908902506,1615,1030,388,440
sleep_only,advanced_full,XGBoost,config_3,2,260,13213,2854,20,5,0.7330063069376314,0.22998296422487224,0.30337078651685395,0.8123702781237028,0.2616279069767442,0.5822295604964529,0.20868505609029192,1957,452,310,135
sleep_only,advanced_full,XGBoost,config_3,3,260,13618,2449,21,4,0.6549612086565946,0.2443502824858757,0.3581780538302277,0.7278738555442523,0.290512174643157,0.5406617465863783,0.23512400881267012,1431,535,310,173
sleep_only,advanced_full,XGBoost,config_3,4,260,12820,3247,20,5,0.5676008623344626,0.2637766348273328,0.47174770039421815,0.5969428801287209,0.3383600377002828,0.5421968807186209,0.25821408648668187,1484,1002,402,359
sleep_only,advanced_full,XGBoost,config_3,5,260,12023,4044,19,6,0.6305637982195845,0.3523111612175874,0.6443298969072165,0.6262199089134678,0.4555393586005831,0.6759200880011269,0.42334145828549863,1925,1149,345,625
sleep_only,advanced_late_fusion,XGBoost,config_3,1,260,12594,3473,20,5,0.6012093291102792,0.32066967160334836,0.6014492753623188,0.6011342155009451,0.41831163376732466,0.6378809256367406,0.3688706160667914,1590,1055,330,498
sleep_only,advanced_late_fusion,XGBoost,config_3,2,260,13213,2854,20,5,0.7410651716888578,0.18043478260869567,0.18651685393258427,0.8435035284350353,0.18342541436464088,0.5489162830397246,0.17444839375519056,2032,377,362,83
sleep_only,advanced_late_fusion,XGBoost,config_3,3,260,13618,2449,21,4,0.6949775418538179,0.2877813504823151,0.37060041407867494,0.7746693794506613,0.3239819004524887,0.5619591018326036,0.26827619706163386,1523,443,304,179
sleep_only,advanced_late_fusion,XGBoost,config_3,4,260,12820,3247,20,5,0.5971666153372344,0.2774613506916192,0.4480946123521682,0.6427996781979083,0.342713567839196,0.5364062402542279,0.27051000791046975,1598,888,420,341
sleep_only,advanced_late_fusion,XGBoost,config_3,5,260,12023,4044,19,6,0.6552917903066271,0.36375321336760924,0.5835051546391753,0.6779440468445023,0.44813935075217737,0.672419829766113,0.45481415099759237,2084,990,404,566
sleep_only,advanced_spo2,XGBoost,config_4,1,84,12594,3473,20,5,0.653901526058163,0.37296195652173914,0.6630434782608695,0.6510396975425331,0.47739130434782606,0.6720146936613609,0.3603602929962714,1722,923,279,549
sleep_only,advanced_spo2,XGBoost,config_4,2,84,13213,2854,20,5,0.7697967764540995,0.1513157894736842,0.10337078651685393,0.8929016189290162,0.12283044058744993,0.500053637809525,0.15750529249050227,2151,258,399,46
sleep_only,advanced_spo2,XGBoost,config_4,3,84,13618,2449,21,4,0.6231114740710494,0.2669491525423729,0.5217391304347826,0.6480162767039674,0.35318850735809393,0.623641238529115,0.29424891927433633,1274,692,231,252
sleep_only,advanced_spo2,XGBoost,config_4,4,84,12820,3247,20,5,0.6214967662457653,0.3046744574290484,0.47963206307490147,0.664923572003218,0.37263910158244,0.6042724936384885,0.28749494650284013,1653,833,396,365
sleep_only,advanced_spo2,XGBoost,config_4,5,84,12023,4044,19,6,0.6676557863501483,0.38209331651954603,0.6247422680412371,0.6811971372804164,0.47417840375586856,0.704836205219701,0.5004510076858422,2094,980,364,606
sleep_only,advanced_respiratory,XGBoost,config_4,1,152,12594,3473,20,5,0.6210768787791535,0.30032733224222585,0.44323671497584544,0.6767485822306238,0.35804878048780486,0.5956409870049223,0.2956392643790527,1790,855,461,367
sleep_only,advanced_respiratory,XGBoost,config_4,2,152,13213,2854,20,5,0.7610371408549405,0.24516129032258063,0.25617977528089886,0.8542963885429639,0.25054945054945055,0.5810402003721997,0.2098513079777506,2058,351,331,114
sleep_only,advanced_respiratory,XGBoost,config_4,3,152,13618,2449,21,4,0.6659861167823602,0.25547445255474455,0.36231884057971014,0.7405900305188199,0.2996575342465753,0.5783411157377277,0.26379576440274544,1456,510,308,175
sleep_only,advanced_respiratory,XGBoost,config_4,4,152,12820,3247,20,5,0.5817677856482907,0.2893436838390967,0.5387647831800263,0.5949316170555109,0.37649219467401285,0.5790254597890103,0.2757400168740524,1479,1007,351,410
sleep_only,advanced_respiratory,XGBoost,config_4,5,152,12023,4044,19,6,0.6236399604352126,0.34934497816593885,0.6597938144329897,0.6122316200390371,0.4568165596002855,0.7015826117285648,0.46853841035982235,1882,1192,330,640
sleep_only,advanced_respiratory_spo2,XGBoost,config_4,1,236,12594,3473,20,5,0.6495824935214511,0.35342878673700073,0.5664251207729468,0.6756143667296787,0.43526682134570766,0.6655598476754062,0.427159493043896,1787,858,359,469
sleep_only,advanced_respiratory_spo2,XGBoost,config_4,2,236,13213,2854,20,5,0.8149964961457603,0.3359683794466403,0.19101123595505617,0.9302615193026152,0.24355300859598855,0.5937425664992235,0.23230969176069088,2241,168,360,85
sleep_only,advanced_respiratory_spo2,XGBoost,config_4,3,236,13618,2449,21,4,0.6925275622703144,0.2916666666666667,0.391304347826087,0.7665310274669379,0.33421750663129973,0.5869786368260428,0.2887246778685049,1507,459,294,189
sleep_only,advanced_respiratory_spo2,XGBoost,config_4,4,236,12820,3247,20,5,0.5765321835540499,0.29030054644808745,0.5584756898817346,0.582059533386967,0.38202247191011235,0.5847056261450456,0.2786596123523859,1447,1039,336,425
sleep_only,advanced_respiratory_spo2,XGBoost,config_4,5,236,12023,4044,19,6,0.6550445103857567,0.3814835471277189,0.7051546391752578,0.6392322706571243,0.495114006514658,0.7208794746762001,0.5021145113864542,1965,1109,286,684
sleep_only,advanced_full,XGBoost,config_4,1,260,12594,3473,20,5,0.5847970054707745,0.29722589167767505,0.5434782608695652,0.5977315689981096,0.3842869342442357,0.6065162598284978,0.40288403942671713,1581,1064,378,450
sleep_only,advanced_full,XGBoost,config_4,2,260,13213,2854,20,5,0.7312543798177996,0.2360655737704918,0.3235955056179775,0.8065587380655874,0.2729857819905213,0.5838685453892473,0.214522793455526,1943,466,301,144
sleep_only,advanced_full,XGBoost,config_4,3,260,13618,2449,21,4,0.6565945283789302,0.23830409356725146,0.33747412008281574,0.7349949135300101,0.27934875749785776,0.5402989538510791,0.23538052943207294,1445,521,320,163
sleep_only,advanced_full,XGBoost,config_4,4,260,12820,3247,20,5,0.5697566984909147,0.27056277056277056,0.492772667542707,0.5933226065969429,0.3493246390312063,0.5439554805200846,0.2639925266027032,1475,1011,386,375
sleep_only,advanced_full,XGBoost,config_4,5,260,12023,4044,19,6,0.6478733926805144,0.36488095238095236,0.6319587628865979,0.6528952504879636,0.46264150943396226,0.677548645439972,0.4126572269012644,2007,1067,357,613
sleep_only,advanced_late_fusion,XGBoost,config_4,1,260,12594,3473,20,5,0.6081197811690181,0.3224516988674217,0.5845410628019324,0.6155009451795841,0.41562902533276086,0.6375829885939198,0.37105478333951664,1628,1017,344,484
sleep_only,advanced_late_fusion,XGBoost,config_4,2,260,13213,2854,20,5,0.7424667133847231,0.17194570135746606,0.1707865168539326,0.8480697384806973,0.1713641488162345,0.5471252466173199,0.1752921137911877,2043,366,369,76
sleep_only,advanced_late_fusion,XGBoost,config_4,3,260,13618,2449,21,4,0.6786443446304614,0.27245508982035926,0.37681159420289856,0.7527975584944049,0.31624674196351,0.5557932049815812,0.26468600931695535,1480,486,301,182
sleep_only,advanced_late_fusion,XGBoost,config_4,4,260,12820,3247,20,5,0.5947028025870034,0.2727272727272727,0.4375821287779238,0.6427996781979083,0.3360242179616549,0.5360962255913008,0.27100100086162593,1598,888,428,333
sleep_only,advanced_late_fusion,XGBoost,config_4,5,260,12023,4044,19,6,0.6538081107814046,0.3637515842839037,0.5917525773195876,0.6733897202342225,0.45054945054945056,0.6710525256725848,0.44379651838098133,2070,1004,396,574
sleep_only,advanced_spo2,XGBoost,config_5,1,84,12594,3473,20,5,0.6544773970630579,0.3580152671755725,0.5664251207729468,0.6820415879017013,0.43872778297474274,0.6573523099823748,0.35097956534939456,1804,841,359,469
sleep_only,advanced_spo2,XGBoost,config_5,2,84,13213,2854,20,5,0.7729502452697968,0.14634146341463414,0.09438202247191012,0.8982980489829805,0.11475409836065574,0.4472115335282951,0.143731811895484,2164,245,403,42
sleep_only,advanced_spo2,XGBoost,config_5,3,84,13618,2449,21,4,0.6349530420579829,0.2698768197088466,0.4989648033126294,0.6683621566632757,0.3502906976744186,0.6103226907110316,0.2976930445872014,1314,652,242,241
sleep_only,advanced_spo2,XGBoost,config_5,4,84,12820,3247,20,5,0.6328919002155836,0.3081032947462155,0.45466491458607095,0.6874497184231697,0.3673036093418259,0.6078126866563135,0.29039043547137844,1709,777,415,346
sleep_only,advanced_spo2,XGBoost,config_5,5,84,12023,4044,19,6,0.6787833827893175,0.3853658536585366,0.5701030927835051,0.7130774235523748,0.4598752598752599,0.6831649216239964,0.4433419784829534,2192,882,417,553
sleep_only,advanced_respiratory,XGBoost,config_5,1,152,12594,3473,20,5,0.674920817736827,0.3072983354673495,0.2898550724637681,0.7954631379962193,0.2983219390926041,0.5997388199410062,0.29617894151150875,2104,541,588,240
sleep_only,advanced_respiratory,XGBoost,config_5,2,152,13213,2854,20,5,0.7701471618780659,0.22163588390501318,0.18876404494382024,0.8775425487754255,0.20388349514563106,0.5636410277937137,0.18972350919458683,2114,295,361,84
sleep_only,advanced_respiratory,XGBoost,config_5,3,152,13618,2449,21,4,0.7145773785218457,0.2795918367346939,0.2836438923395445,0.8204476093591048,0.2816032887975334,0.5790308958295158,0.2605806109856293,1613,353,346,137
sleep_only,advanced_respiratory,XGBoost,config_5,4,152,12820,3247,20,5,0.6418232214351709,0.3131970260223048,0.442838370565046,0.7027353177795655,0.36690255851932496,0.5929922414403709,0.2902588481511953,1747,739,424,337
sleep_only,advanced_respiratory,XGBoost,config_5,5,152,12023,4044,19,6,0.6859545004945599,0.3934659090909091,0.5711340206185567,0.7221860767729343,0.4659377628259041,0.6895797141304858,0.4385965023444167,2220,854,416,554
sleep_only,advanced_respiratory_spo2,XGBoost,config_5,1,236,12594,3473,20,5,0.653901526058163,0.3401709401709402,0.4806763285024155,0.7081285444234404,0.3983983983983984,0.627039441841776,0.3402031819889616,1873,772,430,398
sleep_only,advanced_respiratory_spo2,XGBoost,config_5,2,236,13213,2854,20,5,0.8139453398738612,0.2013888888888889,0.0651685393258427,0.9522623495226235,0.09847198641765705,0.5455828097816707,0.17682594293211562,2294,115,416,29
sleep_only,advanced_respiratory_spo2,XGBoost,config_5,3,236,13618,2449,21,4,0.7060024499795835,0.29604130808950085,0.35610766045548653,0.7919633774160733,0.3233082706766917,0.59304817508409,0.27689787380277375,1557,409,311,172
sleep_only,advanced_respiratory_spo2,XGBoost,config_5,4,236,12820,3247,20,5,0.6399753618724977,0.31753130590339895,0.4664914586070959,0.6930812550281577,0.3778605641298563,0.6125107434748917,0.2979517074555258,1723,763,406,355
sleep_only,advanced_respiratory_spo2,XGBoost,config_5,5,236,12023,4044,19,6,0.6869436201780416,0.38632872503840243,0.5185567010309279,0.7400780741704619,0.44278169014084506,0.6693894251084923,0.40597074867933225,2275,799,467,503
sleep_only,advanced_full,XGBoost,config_5,1,260,12594,3473,20,5,0.621364814281601,0.3056664006384677,0.46256038647342995,0.6710775047258979,0.3680922633349351,0.5853383012337561,0.30735011089883213,1775,870,445,383
sleep_only,advanced_full,XGBoost,config_5,2,260,13213,2854,20,5,0.7578836720392431,0.16022099447513813,0.1303370786516854,0.8738065587380656,0.14374225526641884,0.5331010582973027,0.17065646675842616,2105,304,387,58
sleep_only,advanced_full,XGBoost,config_5,3,260,13618,2449,21,4,0.6847692935892201,0.23290203327171904,0.2608695652173913,0.788911495422177,0.24609375,0.5396133861567981,0.21463823072773291,1551,415,357,126
sleep_only,advanced_full,XGBoost,config_5,4,260,12820,3247,20,5,0.6639975361872498,0.3112128146453089,0.35742444152431013,0.7578439259855189,0.3327217125382263,0.561673624597351,0.28277752116205923,1884,602,489,272
sleep_only,advanced_full,XGBoost,config_5,5,260,12023,4044,19,6,0.6785361028684471,0.36693548387096775,0.4690721649484536,0.7446324007807417,0.4117647058823529,0.6310626538510554,0.35308664823750857,2289,785,515,455
sleep_only,advanced_late_fusion,XGBoost,config_5,1,260,12594,3473,20,5,0.7083213360207313,0.38002594033722437,0.3538647342995169,0.819281663516068,0.36647904940587867,0.6260200633772591,0.3472249661265021,2167,478,535,293
sleep_only,advanced_late_fusion,XGBoost,config_5,2,260,13213,2854,20,5,0.7918710581639804,0.16289592760180996,0.08089887640449438,0.9232046492320465,0.10810810810810811,0.5387848004440278,0.1712748635979428,2224,185,409,36
sleep_only,advanced_late_fusion,XGBoost,config_5,3,260,13618,2449,21,4,0.7439771335238873,0.34140969162995594,0.32091097308488614,0.8479145473041709,0.33084311632870866,0.5704470828094164,0.28049253407970187,1667,299,328,155
sleep_only,advanced_late_fusion,XGBoost,config_5,4,260,12820,3247,20,5,0.675700646750847,0.3098958333333333,0.31274638633377133,0.7868061142397426,0.31131458469587964,0.5712864577772186,0.27968342003452856,1956,530,523,238
sleep_only,advanced_late_fusion,XGBoost,config_5,5,260,12023,4044,19,6,0.7000494559841741,0.38944494995450407,0.44123711340206184,0.7817176317501626,0.4137264378927018,0.6460188209727076,0.3775968205447884,2403,671,542,428
sleep_only,advanced_spo2,XGBoost,config_6,1,84,12594,3473,20,5,0.6657068816585084,0.3811563169164882,0.644927536231884,0.6722117202268431,0.4791386271870794,0.6745794635763404,0.36569451813397935,1778,867,294,534
sleep_only,advanced_spo2,XGBoost,config_6,2,84,13213,2854,20,5,0.7817098808689559,0.13524590163934427,0.07415730337078652,0.9124117891241179,0.09579100145137881,0.4960252051063194,0.15511556709285917,2198,211,412,33
sleep_only,advanced_spo2,XGBoost,config_6,3,84,13618,2449,21,4,0.6243364638628012,0.2716823406478579,0.5383022774327122,0.645473041709054,0.3611111111111111,0.6267573595849946,0.29994118000353087,1269,697,223,260
