regime,feature_variant,experiment,model,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index
sleep_only,base,spo2_only,XGBoost,0.6,0.7257110848322649,0.3357142857142857,0.2695726985947806,0.8521462639109698,0.29902974391601717,10720,1860,2547,940,0.12171896250575043
sleep_only,base,spo2_only,XGBoost,0.65,0.7527852119250638,0.35990756787983824,0.1786636076856897,0.9119236883942766,0.23878880797240323,11472,1108,2864,623,0.0905872960799663
sleep_only,base,spo2_only,XGBoost,0.7,0.7700255181427771,0.38288288288288286,0.09750501864066533,0.9564387917329094,0.15542857142857142,12032,548,3147,340,0.05394381037357476
sleep_only,base,spo2_only,XGBoost,0.75,0.7793614240368457,0.42676767676767674,0.04846572985374247,0.9819554848966614,0.08704609837754314,12353,227,3318,169,0.030421214750403935
sleep_only,base,spo2_only,XGBoost,0.8,0.7804194933715068,0.39037433155080214,0.020934901061084026,0.9909379968203498,0.03973870440936309,12466,114,3414,73,0.011872897881433753
sleep_only,base,spo2_only,XGBoost,0.85,0.7817887595693035,0.35384615384615387,0.00659592773157442,0.9966613672496025,0.01295045045045045,12538,42,3464,23,0.0032572949811768837
sleep_only,base,spo2_only,XGBoost,0.9,0.7827223501587104,0.35714285714285715,0.0014338973329509608,0.9992845786963434,0.0028563267637817767,12571,9,3482,5,0.0007184760292942016
sleep_only,base,spo2_only,XGBoost,0.95,0.7829713076492189,0.0,0.0,1.0,0.0,12580,0,3487,0,0.0
sleep_only,enhanced,effort_only,XGBoost,0.05,0.2177755648223066,0.21701464630726083,0.998566102667049,0.0013513513513513514,0.3565431087446242,17,12563,5,3482,-8.254598159962434e-05
sleep_only,enhanced,effort_only,XGBoost,0.1,0.2219456027883239,0.2172521957340025,0.9931172928018354,0.008187599364069952,0.3565141298193236,103,12477,24,3463,0.001304892165905347
sleep_only,enhanced,effort_only,XGBoost,0.15,0.23072135432874838,0.21754631692875787,0.9799254373386865,0.023052464228934817,0.35604876523913725,290,12290,70,3417,0.002977901567621455
sleep_only,enhanced,effort_only,XGBoost,0.2,0.2484595755274787,0.21864762154370332,0.9569830800114711,0.05206677265500795,0.3559656515014134,655,11925,150,3337,0.009049852666479064
sleep_only,enhanced,effort_only,XGBoost,0.25,0.2875459015373125,0.22206703910614525,0.911958703756811,0.11446740858505565,0.3571629134609985,1440,11140,307,3180,0.026426112341866537
sleep_only,enhanced,effort_only,XGBoost,0.3,0.340511607642995,0.22617671982127724,0.8419845139088041,0.20151033386327505,0.3565703181928589,2535,10045,551,2936,0.043494847772079126
sleep_only,enhanced,effort_only,XGBoost,0.35,0.41320719487147567,0.2370075254537406,0.7677086320619444,0.3149443561208267,0.362197266946286,3962,8618,810,2677,0.08265298818277111
sleep_only,enhanced,effort_only,XGBoost,0.4,0.48696085143461754,0.249314779675311,0.6782334384858044,0.4339427662957075,0.36460340707623523,5459,7121,1122,2365,0.11217620478151202
sleep_only,enhanced,effort_only,XGBoost,0.45,0.5548640069708097,0.2624141060547128,0.580441640378549,0.5477742448330684,0.36142857142857143,6891,5689,1463,2024,0.1282158852116173
sleep_only,enhanced,effort_only,XGBoost,0.5,0.6181614489325947,0.27702930279555404,0.4717522225408661,0.6587440381558028,0.34907161803713527,8287,4293,1842,1645,0.13049626069666886
sleep_only,enhanced,effort_only,XGBoost,0.55,0.6734300118254808,0.2931358721203573,0.35761399483796963,0.7609697933227345,0.322180596822116,9573,3007,2240,1247,0.11858378816070414
sleep_only,enhanced,effort_only,XGBoost,0.6,0.7164374183108234,0.31039375665129476,0.2509320332664181,0.8454689984101749,0.27751347922613384,10636,1944,2612,875,0.09640103167659309
sleep_only,enhanced,effort_only,XGBoost,0.65,0.7461878384265886,0.3179297597042514,0.14797820476053913,0.9120031796502385,0.20195694716242663,11473,1107,2971,516,0.059981384410777494
sleep_only,enhanced,effort_only,XGBoost,0.7,0.766415634530404,0.327720207253886,0.07255520504731862,0.9587440381558029,0.11880723174454097,12061,519,3234,253,0.03129924320312161
sleep_only,enhanced,effort_only,XGBoost,0.75,0.7784278334474388,0.36727272727272725,0.028964726125609408,0.9861685214626391,0.05369484316852738,12406,174,3386,101,0.015133247588248633
sleep_only,enhanced,effort_only,XGBoost,0.8,0.7814153233335408,0.34177215189873417,0.007743045597935188,0.9958664546899841,0.01514301738642737,12528,52,3460,27,0.0036095002879192872
sleep_only,enhanced,effort_only,XGBoost,0.85,0.7828468289039646,0.375,0.0008603383997705764,0.9996025437201908,0.0017167381974248926,12575,5,3484,3,0.00046288211996126094
sleep_only,enhanced,effort_only,XGBoost,0.9,0.7829713076492189,0.0,0.0,1.0,0.0,12580,0,3487,0,0.0
sleep_only,enhanced,effort_only,XGBoost,0.95,0.7829713076492189,0.0,0.0,1.0,0.0,12580,0,3487,0,0.0
sleep_only,enhanced,flow_only,XGBoost,0.05,0.24099085081222382,0.22014397737498392,0.9822196730714081,0.03553259141494436,0.35967445523759517,447,12133,62,3425,0.017752264486352587
sleep_only,enhanced,flow_only,XGBoost,0.1,0.24391610132569863,0.22070299903257015,0.9813593346716375,0.03950715421303656,0.3603622577927548,497,12083,65,3422,0.020866488884674128
sleep_only,enhanced,flow_only,XGBoost,0.15,0.25356320408290284,0.2225339248434238,0.9782047605391454,0.052702702702702706,0.3625830454424661,663,11917,76,3411,0.03090746324184801
sleep_only,enhanced,flow_only,XGBoost,0.2,0.2711147071637518,0.22483940042826553,0.9635790077430456,0.07917329093799683,0.36460311431826814,996,11584,127,3360,0.04275229868104247
sleep_only,enhanced,flow_only,XGBoost,0.25,0.3065289101885853,0.22990614635523252,0.934327502150846,0.1325119236883943,0.3690112130479103,1667,10913,229,3258,0.06683942583924041
sleep_only,enhanced,flow_only,XGBoost,0.3,0.3625443455529968,0.2372208822842916,0.8743905936334958,0.2206677265500795,0.37319461444308444,2776,9804,438,3049,0.0950583201835753
sleep_only,enhanced,flow_only,XGBoost,0.35,0.42876703802825666,0.2473586078309509,0.7989675939202753,0.3261526232114467,0.3777627118644068,4103,8477,701,2786,0.12512021713172206
sleep_only,enhanced,flow_only,XGBoost,0.4,0.5049480301238564,0.2613527086227161,0.70146257527961,0.45047694753577106,0.38081893196325706,5667,6913,1041,2446,0.15193952281538103
sleep_only,enhanced,flow_only,XGBoost,0.45,0.5867305657558972,0.28198036232886187,0.5847433323774017,0.5872813990461049,0.3804814331031909,7388,5192,1448,2039,0.1720247314235066
sleep_only,enhanced,flow_only,XGBoost,0.5,0.6687620588784465,0.32027424094025464,0.46888442787496415,0.7241653418124007,0.38058659217877094,9110,3470,1852,1635,0.19304976968736476
sleep_only,enhanced,flow_only,XGBoost,0.55,0.7248397336154851,0.3627278071722516,0.3538858617722971,0.8276629570747218,0.3582522862534475,10412,2168,2253,1234,0.1815488188470189
sleep_only,enhanced,flow_only,XGBoost,0.6,0.7586979523246405,0.4082784571966134,0.24892457700028678,0.9,0.3092820238731516,11322,1258,2619,868,0.14892457700028672
sleep_only,enhanced,flow_only,XGBoost,0.65,0.7786767909379474,0.4721099434114794,0.1674792084886722,0.9480922098569158,0.2472480948348857,11927,653,2903,584,0.11557141834558804
sleep_only,enhanced,flow_only,XGBoost,0.7,0.7850874463185411,0.5254491017964071,0.10065959277315745,0.9748012718600954,0.16895306859205775,12263,317,3136,351,0.07546086463325286
sleep_only,enhanced,flow_only,XGBoost,0.75,0.7864567125163379,0.5795454545454546,0.0585030111843992,0.9882352941176471,0.10627767647824954,12432,148,3283,204,0.04673830530204626
sleep_only,enhanced,flow_only,XGBoost,0.8,0.785523121926931,0.6496350364963503,0.025523372526527102,0.9961844197138314,0.04911699779249448,12532,48,3398,89,0.02170779224035857
sleep_only,enhanced,flow_only,XGBoost,0.85,0.7836559407481173,0.7894736842105263,0.004301691998852882,0.9996820349761526,0.008556759840273816,12576,4,3472,15,0.003983726975005375
sleep_only,enhanced,flow_only,XGBoost,0.9,0.7829713076492189,0.0,0.0,1.0,0.0,12580,0,3487,0,0.0
sleep_only,enhanced,flow_only,XGBoost,0.95,0.7829713076492189,0.0,0.0,1.0,0.0,12580,0,3487,0,0.0
sleep_only,enhanced,full_core_fusion,XGBoost,0.05,0.2188336341569677,0.21742112482853224,1.0,0.002305246422893482,0.3571830985915493,29,12551,0,3487,0.0023052464228934255
sleep_only,enhanced,full_core_fusion,XGBoost,0.1,0.22630235887222258,0.21806833942756274,0.9919701749354746,0.014069952305246422,0.3575378572536048,177,12403,28,3459,0.006040127240720894
sleep_only,enhanced,full_core_fusion,XGBoost,0.15,0.25175826227671627,0.22021897331672458,0.9632922282764554,0.05453100158982512,0.3584845250800427,686,11894,128,3359,0.0178232298662806
sleep_only,enhanced,full_core_fusion,XGBoost,0.2,0.2971930042945167,0.22562047388033468,0.9202753082879266,0.12448330683624802,0.3623941276115189,1566,11014,278,3209,0.04475861512417456
sleep_only,enhanced,full_core_fusion,XGBoost,0.25,0.35482666334723345,0.2335992564479901,0.8649268712360195,0.21343402225755168,0.36784973777289914,2685,9895,471,3016,0.07836089349357112
sleep_only,enhanced,full_core_fusion,XGBoost,0.3,0.4204892014688492,0.243616833949639,0.7935187840550617,0.3170906200317965,0.3727854496463456,3989,8591,720,2767,0.11060940408685815
sleep_only,enhanced,full_core_fusion,XGBoost,0.35,0.49611003921080477,0.2607205897622261,0.7201032406079725,0.43402225755166934,0.3828327488946486,5460,7120,976,2511,0.15412549815964183
sleep_only,enhanced,full_core_fusion,XGBoost,0.4,0.5656936578079294,0.27874255292178984,0.6306280470318325,0.5476947535771065,0.3866033755274262,6890,5690,1288,2199,0.178322800608939
sleep_only,enhanced,full_core_fusion,XGBoost,0.45,0.6317918715379349,0.30471136838720053,0.5434470891884141,0.6562798092209857,0.3904801153925407,8256,4324,1592,1895,0.19972689840939983
sleep_only,enhanced,full_core_fusion,XGBoost,0.5,0.6867492375676854,0.33397766323024053,0.44594207054774876,0.7534976152623212,0.38192312415571655,9479,3101,1932,1555,0.19943968581007
sleep_only,enhanced,full_core_fusion,XGBoost,0.55,0.7314993464865874,0.3745068285280728,0.3538858617722971,0.8361685214626391,0.36390445296372753,10519,2061,2253,1234,0.19005438323493618
sleep_only,enhanced,full_core_fusion,XGBoost,0.6,0.7638638202526918,0.4268699380657456,0.2569544020648122,0.9043720190779014,0.3208020050125313,11377,1203,2591,896,0.16132642114271367
sleep_only,enhanced,full_core_fusion,XGBoost,0.65,0.7810418870977781,0.4870940882597835,0.1677659879552624,0.951033386327504,0.24957337883959044,11964,616,2902,585,0.11879937428276643
sleep_only,enhanced,full_core_fusion,XGBoost,0.7,0.7857098400448124,0.5359477124183006,0.09406366504158302,0.9774244833068363,0.16003903391070992,12296,284,3159,328,0.07148814834841932
